Origin;Ship to Country code;Ship to simplified postcode 2 digits;Minimum;<=50kg;<=100kg;<=200;<=400;<=800;<=1500;<=5000;<=10000;<=15000;FTL;Carrier Leadtime in working days;Custom Clearance;DG Surcharge per shipment;Distance
CHS1;FR;06;26.22;129.4812;56.1336;41.1768;39.0906;36.7536;30.495;16.5756;6.1446;4.218;1314.42;1;39;0;349.5335473
CH00;FR;13;25.3;124.938;54.164;39.732;37.719;35.464;29.425;15.994;5.929;4.07;1268.3;1;39;0;382.0404439
CH00;FR;92;39.33;194.2218;84.2004;61.7652;58.6359;55.1304;45.7425;24.8634;9.2169;6.327;1971.63;1;39;0;496.4767646
CH00;FR;02;28.29;139.7034;60.5652;44.4276;42.1767;39.6552;32.9025;17.8842;6.6297;4.551;1418.19;1;39;0;502.7217398
CH00;CH;44;32.76;278.2416;65.52;47.138;29.575;18.0726;13.7774;7.2982;8.099;3.8948;844.48;1;0;0;230.4269657
CH00;DE;50;17.4;83.5722;84.9468;52.2348;40.0722;26.1348;20.1318;17.2086;14.877;12.8238;2359.44;1;32;0;638.7984078
CH00;IT;20;14;57.064;28.7392;8.316;6.0088;4.2168;4.2952;5.2248;6.2272;5.7512;859.6;2;38;0;308.6464815
CH00;IT;18;39.75;162.021;81.5988;23.6115;17.0607;11.9727;12.1953;14.8347;17.6808;16.3293;2440.65;4;38;0;353.4449348
CH00;HU;43;42.14;93.869;61.7222;34.744;17.2258;14.8178;14.5942;9.2364;8.0152;9.2794;1927.26;4;36;0;1495.097072
CH00;DE;14;20.41;103.6357;93.9017;58.4511;45.2317;30.5522;23.5657;19.3581;15.857;13.6747;2469.61;2;32;0;1027.00836
CH00;PT;21;57.12;257.8492;103.7561;45.0891;40.0554;28.6909;26.1324;27.2272;27.5009;23.3835;4733.82;5;38;0;1741.567455
CHS1;RO;07;95.7;239.0325;161.182;86.304;49.474;37.2505;34.5825;21.6775;21.721;21.837;3925.15;5;36;0;1912.126311
CH04;DE;52;18;86.454;87.876;54.036;41.454;27.036;20.826;17.802;15.39;13.266;2440.8;1;32;0;620.7291891
CH00;CH;12;13.86;117.7176;27.72;19.943;12.5125;7.6461;5.8289;3.0877;3.4265;1.6478;357.28;1;0;0;10.76293742
CH00;FR;06;32.2;159.012;68.936;50.568;48.006;45.136;37.45;20.356;7.546;5.18;1614.2;1;39;0;349.5335473
CH00;FR;28;26.68;131.7528;57.1184;41.8992;39.7764;37.3984;31.03;16.8664;6.2524;4.292;1337.48;1;39;0;518.2177599
CH00;FR;93;15.64;77.2344;33.4832;24.5616;23.3172;21.9232;18.19;9.8872;3.6652;2.516;784.04;1;39;0;488.5137813
CH00;ES;18;84.8;239.28;105.136;48.944;31.504;15.728;12.112;11.584;10.464;8.096;1984;4;38;0;1548.410783
CH00;BE;22;29.97;156.9762;60.495;41.4918;20.7903;12.1767;12.1323;13.7085;12.6207;11.8659;1912.53;1;42;0;671.6688334
CH00;IT;40;45.5;185.458;93.4024;27.027;19.5286;13.7046;13.9594;16.9806;20.2384;18.6914;2793.7;3;38;0;553.319139
CH04;FR;45;14.72;72.6912;31.5136;23.1168;21.9456;20.6336;17.12;9.3056;3.4496;2.368;737.92;1;39;0;422.09967
CH04;FR;77;15.18;74.9628;32.4984;23.8392;22.6314;21.2784;17.655;9.5964;3.5574;2.442;760.98;1;39;0;443.0636485
CH04;DE;53;9.9;47.5497;48.3318;29.7198;22.7997;14.8698;11.4543;9.7911;8.4645;7.2963;1342.44;1;32;0;600.9090001
CH00;FR;95;38.41;189.6786;82.2308;60.3204;57.2643;53.8408;44.6725;24.2818;9.0013;6.179;1925.51;1;39;0;513.9620198
CH02;FR;40;20.7;102.222;44.316;32.508;30.861;29.016;24.075;13.086;4.851;3.33;1037.7;3;39;0;724.0186643
