Lane ID / -,Dep.shipping point,Ship to Country code,Ship to Country name,Ship to simplified postcode 2 digits,Minimum,<=50kg,<=100kg,<=200,<=400,<=800,<=1500,<=5000,<=10000,<=15000,FTL,Sample shipment (no minimum calculation),Custom Clearance,DG Surcharge per shipment,
CHS1-IG-FR-06-,CH,FR,France,06,26.22 GBP / shipm.,129.48 GBP / 100kg,56.13 GBP / 100kg,41.18 GBP / 100kg,39.09 GBP / 100kg,36.75 GBP / 100kg,30.50 GBP / 100kg,16.58 GBP / 100kg,6.14 GBP / 100kg,4.22 GBP / 100kg,"1,314.42 GBP / shipm.",52.00 EUR / shipm.,39.00 EUR / shipm.,,
CH00-EG-FR-13-,CH,FR,France,13,25.30 GBP / shipm.,124.94 GBP / 100kg,54.16 GBP / 100kg,39.73 GBP / 100kg,37.72 GBP / 100kg,35.46 GBP / 100kg,29.43 GBP / 100kg,15.99 GBP / 100kg,5.93 GBP / 100kg,4.07 GBP / 100kg,"1,268.30 GBP / shipm.",52.00 EUR / shipm.,39.00 EUR / shipm.,,
CH00-IG-FR-92-,CH,FR,France,92,39.33 GBP / shipm.,194.22 GBP / 100kg,84.20 GBP / 100kg,61.77 GBP / 100kg,58.64 GBP / 100kg,55.13 GBP / 100kg,45.74 GBP / 100kg,24.86 GBP / 100kg,9.22 GBP / 100kg,6.33 GBP / 100kg,"1,971.63 GBP / shipm.",52.00 EUR / shipm.,39.00 EUR / shipm.,,
CH00-EG-FR-02-,CH,FR,France,02,28.29 GBP / shipm.,139.70 GBP / 100kg,60.57 GBP / 100kg,44.43 GBP / 100kg,42.18 GBP / 100kg,39.66 GBP / 100kg,32.90 GBP / 100kg,17.88 GBP / 100kg,6.63 GBP / 100kg,4.55 GBP / 100kg,"1,418.19 GBP / shipm.",52.00 EUR / shipm.,39.00 EUR / shipm.,,
CH00-EG-CH-44-,CH,CH,Switzerland,44,32.76 GBP / shipm.,278.24 GBP / 100kg,65.52 GBP / 100kg,47.14 GBP / 100kg,29.58 GBP / 100kg,18.07 GBP / 100kg,13.78 GBP / 100kg,7.30 GBP / 100kg,8.10 GBP / 100kg,3.89 GBP / 100kg,844.48 GBP / shipm.,49.00 EUR / shipm.,0.00 EUR / shipm.,,
CH00-IG-DE-50-,CH,DE,Germany,50,17.40 GBP / shipm.,83.57 GBP / 100kg,84.95 GBP / 100kg,52.23 GBP / 100kg,40.07 GBP / 100kg,26.13 GBP / 100kg,20.13 GBP / 100kg,17.21 GBP / 100kg,14.88 GBP / 100kg,12.82 GBP / 100kg,"2,359.44 GBP / shipm.",67.00 EUR / shipm.,32.00 EUR / shipm.,,
CH00-IG-IT-20-,CH,IT,Italy,20,14.00 GBP / shipm.,57.06 GBP / 100kg,28.74 GBP / 100kg,8.32 GBP / 100kg,6.01 GBP / 100kg,4.22 GBP / 100kg,4.30 GBP / 100kg,5.22 GBP / 100kg,6.23 GBP / 100kg,5.75 GBP / 100kg,859.60 GBP / shipm.,51.00 EUR / shipm.,38.00 EUR / shipm.,,
CH00-EG-IT-18-,CH,IT,Italy,18,39.75 GBP / shipm.,162.02 GBP / 100kg,81.60 GBP / 100kg,23.61 GBP / 100kg,17.06 GBP / 100kg,11.97 GBP / 100kg,12.20 GBP / 100kg,14.83 GBP / 100kg,17.68 GBP / 100kg,16.33 GBP / 100kg,"2,440.65 GBP / shipm.",51.00 EUR / shipm.,38.00 EUR / shipm.,,
CHS1-IG-PL-05-,CH,PL,Poland,05,35.88 GBP / shipm.,154.27 GBP / 100kg,75.53 GBP / 100kg,33.45 GBP / 100kg,26.07 GBP / 100kg,21.07 GBP / 100kg,19.61 GBP / 100kg,21.49 GBP / 100kg,17.79 GBP / 100kg,13.62 GBP / 100kg,"1,760.88 GBP / shipm.",49.00 EUR / shipm.,33.00 EUR / shipm.,,
CH00-EG-HU-43-,CH,HU,Hungary,43,42.14 GBP / shipm.,93.87 GBP / 100kg,61.72 GBP / 100kg,34.74 GBP / 100kg,17.23 GBP / 100kg,14.82 GBP / 100kg,14.59 GBP / 100kg,9.24 GBP / 100kg,8.02 GBP / 100kg,9.28 GBP / 100kg,"1,927.26 GBP / shipm.",41.00 EUR / shipm.,36.00 EUR / shipm.,,
