Month-Year;Postal Code 2 digits;Country of Destination;Dangerous Goods;KG2;Planning;Starting Point
1;0;PickUp;DG;1.85084154;MTO;CH00
1;0;PickUp;nonDG;8.003109409;MTO;CH00
1;0;PickUp;nonDG;2.145897988;MTO;CH00
1;0;PickUp;DG;83.1612462;MTO;CH00
1;0;PickUp;DG;0.121588841;MTO;CH01
1;0;PickUp;DG;0.862839698;MTO;CH00
1;0;PickUp;DG;7.060252445;MTO;CH00
1;0;PickUp;DG;1.380525088;MTO;CH00
1;0;PickUp;DG;25.77726463;MTO;CH00
1;0;PickUp;DG;1447.035989;MTO;CH00
1;0;PickUp;nonDG;75.18079939;MTO;CH00
1;0;PickUp;nonDG;1.124572405;MTS;CH00
1;0;PickUp;nonDG;10.55033961;MTO;CH00
1;0;PickUp;DG;3.434997461;MTO;CH00
1;0;PickUp;DG;4.52349425;MTO;CH00
1;0;PickUp;DG;3.35692419;MTO;CH00
1;12;CH;DG;31.68755263;MTO;CH00
1;37;DE;DG;52.35711827;MTS;CH00
1;20;BE;DG;132.4873664;MTO;CH00
1;12;CH;DG;100.5240577;MTO;CH00
1;8;ES;DG;116.0771829;MTS;CH00
1;8;ES;DG;1531.700743;MTO;CH00
1;12;CH;DG;192.0378756;MTO;CH00
1;12;CH;DG;93.84694712;MTO;CH00
1;19;ES;DG;192.6569838;MTO;CH00
1;52;DE;DG;23.323455;MTO;CH00
1;74;DE;DG;201.8673916;MTS;CH00
1;88;CH;DG;303.6039612;MTO;CH00
1;44;CH;DG;853.631056;MTO;CH00
1;44;CH;nonDG;392.4955611;MTO;CH00
1;44;CH;DG;41.27809942;MTO;CH00
1;21;DE;DG;204.8258218;MTS;CH00
1;21;DE;DG;2569.733907;MTS;CH00
1;21;DE;DG;142.1278604;MTS;CH00
1;21;DE;DG;1466.221322;MTS;CH00
1;21;DE;DG;386.5450578;MTO;CH00
1;21;DE;DG;230.1444972;MTO;CH00
1;21;DE;DG;149.3756469;MTO;CH00
1;21;DE;DG;219.1223973;MTS;CH00
1;21;DE;DG;163.1075249;MTS;CH00
1;21;DE;DG;127.2949812;MTO;CH00
1;74;DE;DG;75.1815253;MTO;CH00
1;22;DE;DG;499.2317791;MTO;CH00
1;50;DE;DG;15.26306255;MTO;CH00
1;59;DE;nonDG;291.9110865;MTO;CH00
1;67;DE;DG;224.8477834;MTO;CH00
1;67;DE;DG;35.11726342;MTO;CH00
1;0;PickUp;DG;139.442584;MTO;CH00
1;0;PickUp;DG;146.8204889;MTO;CH00
1;0;PickUp;DG;214.7068971;MTO;CH00
1;0;PickUp;DG;251.1777331;MTO;CH00
1;20;IT;DG;421.6960563;MTO;CH00
1;20;IT;DG;164.744362;MTO;CH00
1;2;PL;DG;25.4640915;MTO;CH00
1;2;PL;DG;243.4588522;MTO;CH00
1;12;CH;DG;6.092776783;MTO;CH00
1;12;CH;DG;76.6153226;MTO;CH00
1;12;CH;DG;1.358200938;MTO;CH00
1;12;CH;DG;1.487497632;MTO;CH00
1;12;CH;DG;2.890637792;MTO;CH00
1;12;CH;DG;6.130133207;MTO;CH00
1;12;CH;DG;9.060888621;MTO;CH00
1;12;CH;DG;14.56379961;MTO;CH00
1;12;CH;DG;35.35868882;MTO;CH00
1;12;CH;DG;28.99992117;MTO;CH00
1;12;CH;DG;280.3228238;MTO;CH00
1;12;CH;nonDG;486.3153372;MTO;CH00
1;12;CH;DG;63.60784125;MTO;CH00
1;12;CH;DG;76.3141189;MTO;CH00
1;12;CH;DG;69.8491409;MTO;CH00
1;12;CH;DG;57.48868885;MTO;CH00
1;12;CH;DG;30.34750858;MTO;CH00
1;12;CH;DG;152.9804836;MTO;CH00
1;12;CH;DG;21.22770403;MTO;CH00
1;12;CH;DG;1244.893458;MTO;CH00
1;SL;GB;nonDG;556.9270293;MTO;CH01
1;SL;GB;nonDG;356.8262893;MTO;CH01
